Karam, Y.; Baker, T.; Taleb-Bendiab, A.
Toan Phung; Loke, S.W.; Harland, J.
Prabhat Ranjan ; A. K. Misra
Xiaofeng Cui, Richard Paige
Chiung-Hon Leon Lee, Alan Liu
Klaus Pohl, Ernst Sikora
Soo Ling Lim, Eric Platon, Karl Cox
Ian Alexander
Yijun Yu, Julio Cesar Sampaio do Prado Leite, John Mylopoulos
Yogesh Singh, Anjana Gosain, Manoj Kumar
William N. Robinson
Ebenezer A. Oladimeji, Sam Supakkul, Lawrence Chung
Yasir Karam, Thar Baker, Azzelerabe Taleb-Bendiab
Andres J. Ramirez, Betty H. C. Cheng
Nan Niu, Yijun Yu, Bruno González-Baixauli, Neil Ernst, Julio Cesar Sampaio do Prado Leite, John Mylopoulos
Karim DoumiSalah BaïnaKarim Baïna
Oscar Pastor, Giovanni Giachetti
Evellin C. S. Cardoso, Joao Paulo A. Almeida, Giancarlo Guizzardi, Renata S. S. Guizzardi
Andreas Bögl; Michael Schrefl; Gustav Pomberger; Norbert Weber
Shang Gao, John Krogstie
Gerd Gröner, Mohsen Asadi, Bardia Mohabbati, Dragan Gaševi?, Fernando Silva Parreiras, Marko Boškovi?
Birger Andersson, Paul Johannesson, Jelena Zdravkovic
Dina Neiger, Leonid Churilov, Andrew Flitman
Yun Lin, Arne Sølvberg
Dina Neiger, Leonid Churilov, Andrew Flitman
Sebastian Uchitel, Robert Chatley, Jeff Kramer, Jeff Magee
Alexandre Marcos Lins de Vasconcelos, Giovanni Giachetti, Beatriz Marín, Oscar Pastor
Wilco Engelsman, Henk Jonkers, Henry M. Franken, Maria-Eugenia Iacob
Jean-François Molderez, Christophe Ponsard
Alexei Lapouchnian, Yves Lespérance
Cornelius Ncube, James Lockerbie, Neil Maiden
Alireza Pourshahid, Gunter Mussbacher, Daniel Amyot, Michael Weiss
Klaus Pohl, Ernst Sikora
Soung Won Kim, Myoung Soo Kim, Haeng Kon Kim
Emmanuel Letier, Jeff Kramer, Jeff Magee, Sebastian Uchitel
Ken Decreus, Geert Poels
Renaud De Landtsheer, Emmanuel Letier, Axel van Lamsweerde
Ananda EdirisuriyaJelena Zdravkovic
George KoliadisAditya Ghose
Dalal Alrajeh, Alessandra Russo, Sebastian Uchitel
Shan Tang, Xin Peng, Yijun Yu, Wenyun Zhao
Sascha Konrad, Heather J. Goldsby, Betty H. C. Cheng
Jesús Pardillo, Juan Trujillo
Aditya K. Ghose, Nanjangud C. Narendra, Karthikeyan Ponnalagu, Anurag Panda, Atul Gohad
Schulz, F.; Meissner, J.; Rossak, W.
Chatzikonstantinou, G.; Athanasopoulos, M.; Kontogiannis, K.
Brezovan, M.; Stanescu, L.; Ganea, E.
Wegmann, A.; Bajic-Bizumic, B.; Golnam, A.; Popescu, G.; Tapandjieva, G.; Saxena, A.B.; Yassaee, M.; Regev, G.
Mohsen Asadi;  Gerd Gröner; Bardia Mohabbati;  Dragan Gasevic
Jelena Zdravkovic; Eric-Oluf Svee; Constantinos Giannoulis
Gilmini Dantanarayana; Chathurika Wickramage; Prasad Jayaweera
Takao Okubo; Nobukazu Yoshioka; Haruhiko Kaiya
Angelopoulos, K.; Souza, V.E.S.; Pimentel, J.
Gillain, J.; Faulkner, S.; Jureta, I.J.; Snoeck, M.
Lee, J.; Hsu, K.
Jose Luis de la Vara; Juan Sánchez; Oscar Pastor
Shang Gao
Corentin Burnay; Ivan J. Jureta; Isabelle Linden; Stéphane Faulkner
Ingrid Nunes, Michael Luck
Loniewski, G.; Borde, E.; Blouin, D.; Insfran, E.
Jeongmin Park; Sungjoo Kang; Ingeol Chun; Wontae Kim
Jie Sun; Liping Zhao; Loucopoulos, P.; Bo Zhou
Zhuoqun Yang; Zhi Jin
Kristian Beckers; Stephan Faßbender; Maritta Heisel; Federica Paci
Richard Banach; Huibiao Zhu; Wen Su; Runlei Huang
Fabiano Francesconi; Fabiano Dalpiaz; John Mylopoulos
Macasaet, R.J.; Noguera, M.; Rodriguez, M.L.; Garrido, J.L.; Supakkul, S.; Chung, L.
Yuchul Jung; Yoonsung Cho; Yoo-Mi Park; TaeDong Lee
Vitor E. Silva Souza; Alexei Lapouchnian; William N. Robinson; John Mylopoulos
George Chatzikonstantinou; Kostas Kontogiannis; Ioanna-Maria Attarian
Karthikeyan Ponnalagu; Nanjangud C. Narendra; Aditya Ghose; Neeraj Chiktey; Srikanth Tamilselvam
Emil Vassev, Mike Hinchey,
Nagel, B.; Gerth, C.; Engels, G.; Post, J.
Nazila Gol Mohammadi; Azadeh Alebrahim; Thorsten Weyer; Maritta Heisel; Klaus Pohl
Marcela Ruiz, Dolors Costal, Sergio España, Xavier Franch, Oscar Pastor
Lili Yang; Raj Prasanna; Malcolm King
Pradeep K. Murukannaiah, Munindar P. Singh
Animesh Dutta,Shrutilipi Bhattacharjee,Ananya Kanjilal,Ranjan Dasgupta,Swapan Bhattacharya
Fernanda Alencar, Beatriz Marín, Giovanni Giachetti, Oscar Pastor, Jaelson Castro, João Pimentel
João Pimentel, Márcia Lucena, Jaelson Castro, Carla Silva, Emanuel Santos,Fernanda Alencar
Bastos LRD, Castro J
Lucia Bastos; Jaelson Castro.
Lamsweerde AV
Silva LF, Batista TV, Garcia A, Medeiros AL, Minora L
Santander, V., Castro, J.
Lawrence Chung, Sam Supakkul, Nary Subramanian, José Luis Garrido, Manuel Noguera, Maria V. Hurtado, María Luisa Rodríguez,Kawtar Benghazi
Y. Yu, A. Lapouchnian, S. Liaskos, J. Mylopoulos, J. C. S. P. Leite
Haralambos Mouratidis; Paolo Giorgini.
Sepideh Ghanavati, Daniel Amyot, Liam Peyton
Mattia Salnitri, Fabiano Dalpiaz, Paolo Giorgini
Asnar, Y.; Massacci, F
Koliadis, G.; Ghose, A.
Lapouchnian, A.; Yu, Y.; Mylopoulos, J
Mouratidis, H.; Jurjens, J.
Maiden, N.A.M.; Jones, S.V.; Manning, S.; Greenwood, J.; Renou, L
Michaël Petit, Jaap Gordijn, Roel Wieringa
J. Stirna; A. Persson
Y. Yu, J. C. S. do Prado Leite, A. Lapouchnian, J. Mylopoulos
Kohei Uno, Shinpei Hayashi, Motoshi Saeki
Mohsen Asadi, Ebrahim Bagheri , Dragan Gašević, Marek Hatala, Bardia Mohabbati
Alireza Ensan, Ebrahim Bagheri, Mohsen Asadi, Dragan Gasevic, Yevgen Biletskiy
Carla Silva, Clarissa Borba, Jaelson Castro
Thais Batista, María Cecilia Bastarrica, Sérgio Soares, Lyrene Fernandes
Daniel Amyot
Cardoso, E. C. S.; Almeida, J.P.A.; Guizzardi, R.S.S.
Evellin C.S. Cardoso, Paulo Sérgio dos Santos Jr., João Paulo A. Almeida, Renata S.S. Guizzardi, Giancarlo Guizzardi
Régine Laleau, Farida Semmak, Abderrahman Matoussi, Dorian Petit, Ahmed Hammad, Bruno Tatibouet
PAOLO BRESCIANI, ANNA PERINI, PAOLO GIORGINI, FAUSTO GIUNCHIGLIA, JOHN MYLOPOULOS
August Wilhelm Scheer
Birger Andersson, Maria Bergholtz, Ananda Edirisuriya Tharaka Ilayperuma, Paul Johannesson, Jelena Zdravkovic
Birgit, Korherr; List, Beate.
Estrada, Hugo, Martínez, Alicia; Pastor, Oscar.
Jose Luis De la Vara González, Juan Sánchez Díaz
Lawrence Chung
Edith Felix, Olivier Delande, Fabio Massacci, Federica Paci
Jaap Gordijn, Eric Yu, Bas van der Raadt
André Vasconcelos, Artur Caetano, João Neves, Pedro Sinogas, Ricardo Mendes, José Tribolet
Markovic, Ivan; Kowalkiewicz, Marek. 
Neiger, Dina; Churilov, Leonid
Ken Decreus, Geert Poels
Sagar Sunkle, Vinay Kulkarni, Suman Roychoudhury
Perini, A.; Susi, A.
Annie I. Antón, Ryan A. Carter, Aldo Dagnino, John H. Dempster; Devon F. Siege
Colette Rolland, Carine Souveyet, Camille Ben Achour
D. Gross; Eric Yu
E. Letier; A. van Lamsweerde
Renata S. S. Guizzardi; Giancarlo Guizzardi
Sotirios Liaskos, Marina Daoud Jungblut, John Mylopoulos: 
Sotirios Liaskos, Shakil M. Khan, Marin Litoiu, Marina Daoud Jungblut, Vyacheslav Rogozhkin, John Mylopoulos: 
Castro, J.; Kolp, M.; Mylopoulos, J.
S.J. Bleistein, K., Cox, J. Verner, K.T. Phalp
Fernando Molina, Jesús Pardillo, Cristina Cachero, Ambrosio Toval
Bas van der Raadt, Jaap Gordijn, Eric Yu
M. Weiss, B. Esfandiari, Y. Luo
B Aziz, A Arenas, J Bicarregui, C Ponsard, P Massonet
Nakagawa H, Taguchi K, Honiden S
Yves Wautelet, Manuel Kolp
Nelly Bencomo, Amel Belaggoun
Lúcia R. D. Bastos, Jaelson Brelaz de Castro
Manuel Brandozzi, Dewayne E. Perry
Alexei Lapouchnian, Yijun Yu, Sotirios Liaskos, John Mylopoulos
Mohsen Asadi, Ebrahim Bagheri, Dragan Gasevic , Marek Hatala
Carla Silva, Fernanda Alencar, João Araújo, Ana Moreira, Jaelson F. B. Castro
Gemma Grau, Xavier Franch, Neil A. M. Maiden
Dick Quartel, Wilco Engelsman, Henk Jonkers, Marten van Sinderen
Wilco Engelsman, Dick Quartelc, Henk Jonkersa, Marten van Sinderen
Lawrence Chung , Brian Nixon , Eric Yu
L. Chung , D. Gross , E. Yu
Alexei Lapouchnian, Yijun Yu, Sotirios Liaskos, John Mylopoulos
Sotirios Liaskos, Alexei Lapouchnian, Yiqiao Wang, Yijun Yu, Steve Easterbrook
Jaelson Castro, Manuel Kolp, John Mylopoulos
Yijun Yu, Yiqiao Wang ; Mylopoulos, J. ; Liaskos, S. ; Lapouchnian, A. ; Sampaio do Prado Leite, J.C.
Steven J. Bleistein, Karl Cox , June Verner
Lin Liu; Eric Yu
Axel van Lamsweerde
Hanane Becha, Gunter Mussbacher; Daniel Amyot
Behnam, S.A.;  Amyot, Daniel; Mussbacher, G.
Sepideh Ghanavati, Daniel Amyot, Liam Peyton, Alberto Siena, Anna Perini, Angelo Susi
Lin Liu; Eric Yu
Fernando Molina, Jesús Pardillo, Cristina Cachero, Ambrosio Toval
Gunter Mussbacher, Daniel Amyot
Alireza Pourshahid, Daniel Amyot, Liam Peyton, Sepideh Ghanavati, Pengfei Chen, Michael Weiss, Alan J. Forster
B. Hui, S. Liaskos, J. Mylopoulos
Almeida, J.P.; Cardoso, E.
Lawrence Chung, Panagiotis Katalagarianos, Manolis Marakakis, Michalis Mertikas, John Mylopoulos, Yannis Vassiliou
Raman Kazhamiakin, Marco Pistore, Marco Roveri
Neiger, D., Churilov, L
Martínez Alicia, Hugo Estrada, Juan Sánchez
J. Sánchez, O. Pastor, H. Estrada, A. Martínez
V. Kavakli, P. Loucopoulos.
Soffer, P.; Wand, Y
Marcela Ruiz, Dolors Costal, Sergio España, Xavier Franch, Óscar Pastor
